attendance_id,employee_id,attendance_date,status,check_in,check_out,overtime_hours,year,month,month_name,day_name
ATT027330,EMP00902,2026-07-22,On Leave,,,0.0,2026,7,July,Wednesday
ATT008892,EMP00903,2025-01-03,Present,08:08:00,19:54:00,0.0,2025,1,January,Friday
ATT005790,EMP00903,2025-01-22,Present,09:22:00,17:23:00,0.0,2025,1,January,Wednesday
ATT013216,EMP00903,2025-03-12,Present,08:41:00,18:33:00,0.0,2025,3,March,Wednesday
ATT018640,EMP00903,2025-03-29,Present,10:25:00,17:00:00,0.6,2025,3,March,Saturday
ATT006620,EMP00903,2025-04-20,Work From Home,10:25:00,19:39:00,0.0,2025,4,April,Sunday
ATT010379,EMP00903,2025-06-10,Present,09:08:00,20:36:00,0.0,2025,6,June,Tuesday
ATT040136,EMP00903,2025-06-11,Present,10:17:00,20:14:00,0.0,2025,6,June,Wednesday
ATT019302,EMP00903,2025-06-30,Present,08:12:00,19:07:00,0.0,2025,6,June,Monday
ATT040836,EMP00903,2025-07-28,Present,10:55:00,20:08:00,0.0,2025,7,July,Monday
ATT037284,EMP00903,2025-08-09,Present,08:39:00,19:30:00,0.0,2025,8,August,Saturday
ATT017876,EMP00903,2025-09-30,Present,10:17:00,20:51:00,0.0,2025,9,September,Tuesday
ATT008620,EMP00903,2025-12-23,Present,10:00:00,18:16:00,0.0,2025,12,December,Tuesday
ATT032718,EMP00903,2026-01-02,Absent,,,0.0,2026,1,January,Friday
ATT009308,EMP00903,2026-01-16,Absent,,,0.0,2026,1,January,Friday
ATT034195,EMP00903,2026-01-23,On Leave,,,0.0,2026,1,January,Friday
ATT038588,EMP00903,2026-02-23,Present,10:54:00,17:16:00,0.0,2026,2,February,Monday
ATT003881,EMP00903,2026-03-24,Present,10:19:00,19:21:00,0.9,2026,3,March,Tuesday
ATT008400,EMP00903,2026-04-12,Present,10:12:00,19:15:00,0.0,2026,4,April,Sunday
ATT032098,EMP00903,2026-04-14,Present,08:43:00,20:13:00,0.0,2026,4,April,Tuesday
ATT012156,EMP00904,2025-01-08,On Leave,,,0.0,2025,1,January,Wednesday
ATT023570,EMP00904,2025-02-22,Present,09:43:00,17:21:00,3.1,2025,2,February,Saturday
ATT027083,EMP00904,2025-04-05,Absent,,,0.0,2025,4,April,Saturday
ATT038312,EMP00904,2025-04-07,Half Day,09:58:00,18:09:00,0.0,2025,4,April,Monday
ATT039699,EMP00904,2025-06-14,Present,09:08:00,18:28:00,0.0,2025,6,June,Saturday
ATT011783,EMP00904,2025-08-25,Present,08:01:00,20:38:00,0.0,2025,8,August,Monday
ATT040293,EMP00904,2025-11-22,Present,08:43:00,17:32:00,0.0,2025,11,November,Saturday
ATT016769,EMP00904,2025-12-05,Present,08:54:00,17:48:00,0.0,2025,12,December,Friday
ATT003046,EMP00904,2025-12-13,Present,09:15:00,20:23:00,2.1,2025,12,December,Saturday
ATT026300,EMP00904,2026-01-26,Present,08:06:00,19:26:00,0.0,2026,1,January,Monday
ATT002434,EMP00904,2026-02-02,Present,09:37:00,20:08:00,0.0,2026,2,February,Monday
ATT041674,EMP00904,2026-02-16,Present,08:48:00,19:14:00,0.0,2026,2,February,Monday
ATT015809,EMP00904,2026-02-21,Present,09:16:00,19:35:00,0.0,2026,2,February,Saturday
ATT013142,EMP00904,2026-06-03,Present,09:35:00,18:25:00,0.0,2026,6,June,Wednesday
ATT026233,EMP00904,2026-06-24,Present,09:44:00,18:58:00,2.6,2026,6,June,Wednesday
ATT008269,EMP00905,2025-03-22,Half Day,10:59:00,17:44:00,0.0,2025,3,March,Saturday
ATT001444,EMP00905,2025-05-09,Present,08:43:00,18:18:00,0.0,2025,5,May,Friday
ATT007845,EMP00905,2025-07-03,Present,08:41:00,20:54:00,0.0,2025,7,July,Thursday
ATT018854,EMP00905,2025-08-17,Work From Home,08:36:00,17:25:00,0.0,2025,8,August,Sunday
ATT013110,EMP00905,2025-09-10,Present,10:37:00,17:38:00,0.0,2025,9,September,Wednesday
ATT029583,EMP00905,2025-10-11,Present,10:23:00,18:15:00,2.2,2025,10,October,Saturday
ATT019728,EMP00905,2025-10-17,Present,08:13:00,18:34:00,0.0,2025,10,October,Friday
ATT035631,EMP00905,2025-11-08,Present,09:52:00,18:16:00,0.0,2025,11,November,Saturday
ATT020950,EMP00905,2025-11-29,Present,10:48:00,19:53:00,0.0,2025,11,November,Saturday
ATT041544,EMP00905,2026-03-22,Present,08:40:00,18:23:00,0.0,2026,3,March,Sunday
ATT030348,EMP00905,2026-06-01,Absent,,,0.0,2026,6,June,Monday
ATT003082,EMP00905,2026-06-14,Work From Home,10:53:00,17:47:00,0.0,2026,6,June,Sunday
ATT007695,EMP00906,2025-01-01,Present,10:01:00,19:11:00,0.0,2025,1,January,Wednesday
ATT030500,EMP00906,2025-02-12,Present,10:19:00,17:45:00,0.0,2025,2,February,Wednesday
ATT004185,EMP00906,2025-02-14,Absent,,,0.0,2025,2,February,Friday
ATT004566,EMP00906,2025-03-21,Present,08:15:00,19:27:00,0.0,2025,3,March,Friday
ATT000023,EMP00906,2025-05-03,Present,10:40:00,17:17:00,0.0,2025,5,May,Saturday
ATT034618,EMP00906,2025-05-06,Present,09:29:00,18:59:00,0.0,2025,5,May,Tuesday
ATT037784,EMP00906,2025-05-18,Present,10:55:00,20:52:00,0.0,2025,5,May,Sunday
ATT016376,EMP00906,2025-05-26,Present,10:12:00,18:05:00,0.0,2025,5,May,Monday
ATT011756,EMP00906,2025-08-16,Work From Home,10:58:00,19:50:00,0.0,2025,8,August,Saturday
ATT015938,EMP00906,2025-08-19,Present,08:31:00,17:02:00,13.2,2025,8,August,Tuesday
ATT038269,EMP00906,2025-08-26,Present,09:01:00,19:49:00,1.7,2025,8,August,Tuesday
ATT029286,EMP00906,2025-10-03,On Leave,,,0.0,2025,10,October,Friday
ATT006348,EMP00906,2025-12-31,Present,10:20:00,19:25:00,3.2,2025,12,December,Wednesday
ATT040232,EMP00906,2026-02-20,Present,10:57:00,20:51:00,0.0,2026,2,February,Friday
ATT041926,EMP00906,2026-04-30,Half Day,09:39:00,19:19:00,0.0,2026,4,April,Thursday
ATT038522,EMP00907,2025-06-14,On Leave,,,0.0,2025,6,June,Saturday
ATT016222,EMP00907,2025-06-20,Present,09:40:00,18:24:00,0.0,2025,6,June,Friday
ATT014822,EMP00907,2025-09-22,Present,09:32:00,19:41:00,2.3,2025,9,September,Monday
ATT014389,EMP00907,2025-09-29,Present,08:23:00,20:45:00,0.0,2025,9,September,Monday
ATT025237,EMP00907,2025-10-24,Absent,,,0.0,2025,10,October,Friday
ATT028920,EMP00907,2025-11-09,Work From Home,08:04:00,19:38:00,0.0,2025,11,November,Sunday
ATT030761,EMP00907,2025-11-22,Present,08:41:00,18:03:00,0.0,2025,11,November,Saturday
ATT039528,EMP00907,2025-11-27,Present,09:04:00,18:37:00,0.0,2025,11,November,Thursday
ATT010650,EMP00907,2026-01-17,Work From Home,09:39:00,17:35:00,0.0,2026,1,January,Saturday
ATT008161,EMP00907,2026-02-15,Present,08:08:00,19:27:00,0.0,2026,2,February,Sunday
ATT027244,EMP00907,2026-03-30,Present,08:11:00,18:38:00,0.0,2026,3,March,Monday
ATT039915,EMP00907,2026-05-06,Present,09:51:00,18:22:00,2.0,2026,5,May,Wednesday
ATT014005,EMP00907,2026-05-08,Present,10:38:00,18:02:00,0.0,2026,5,May,Friday
ATT038381,EMP00907,2026-07-20,Present,10:51:00,18:45:00,0.0,2026,7,July,Monday
ATT000687,EMP00908,2025-02-02,Present,09:46:00,17:06:00,0.0,2025,2,February,Sunday
ATT027650,EMP00908,2025-02-21,Present,10:27:00,20:43:00,0.0,2025,2,February,Friday
ATT014883,EMP00908,2025-03-21,Absent,,,0.0,2025,3,March,Friday
ATT001165,EMP00908,2025-03-23,Present,10:53:00,17:55:00,0.0,2025,3,March,Sunday
ATT016931,EMP00908,2025-03-27,Present,09:52:00,18:48:00,0.0,2025,3,March,Thursday
ATT001894,EMP00908,2025-04-05,Present,10:06:00,20:44:00,0.0,2025,4,April,Saturday
ATT010847,EMP00908,2025-04-06,Present,09:12:00,18:56:00,0.0,2025,4,April,Sunday
ATT033439,EMP00908,2025-04-15,Present,08:50:00,19:07:00,0.0,2025,4,April,Tuesday
ATT007519,EMP00908,2025-04-27,On Leave,,,0.0,2025,4,April,Sunday
ATT036870,EMP00908,2025-05-19,Present,08:08:00,19:51:00,0.0,2025,5,May,Monday
ATT013562,EMP00908,2025-05-20,Half Day,09:47:00,19:31:00,0.0,2025,5,May,Tuesday
ATT035971,EMP00908,2025-05-27,Present,09:31:00,20:47:00,0.7,2025,5,May,Tuesday
ATT007692,EMP00908,2025-06-22,Present,09:01:00,19:43:00,3.6,2025,6,June,Sunday
ATT023250,EMP00908,2025-09-03,Present,10:24:00,17:59:00,0.0,2025,9,September,Wednesday
ATT008273,EMP00908,2025-09-20,Present,08:02:00,18:21:00,0.0,2025,9,September,Saturday
ATT030524,EMP00908,2025-10-17,Present,08:18:00,18:15:00,0.0,2025,10,October,Friday
ATT022173,EMP00908,2025-10-25,Present,10:01:00,18:38:00,2.2,2025,10,October,Saturday
ATT000346,EMP00908,2025-12-15,Present,10:45:00,20:19:00,0.0,2025,12,December,Monday
ATT003901,EMP00908,2025-12-29,Absent,,,0.0,2025,12,December,Monday
ATT006950,EMP00908,2026-02-02,On Leave,,,0.0,2026,2,February,Monday
ATT012475,EMP00908,2026-02-17,Present,09:53:00,18:26:00,0.8,2026,2,February,Tuesday
ATT037957,EMP00908,2026-04-27,Present,09:46:00,18:09:00,0.0,2026,4,April,Monday
ATT000029,EMP00908,2026-06-06,Present,08:01:00,17:42:00,0.0,2026,6,June,Saturday
ATT023730,EMP00908,2026-06-25,Present,10:14:00,18:04:00,0.0,2026,6,June,Thursday
ATT021344,EMP00909,2025-03-23,Absent,,,0.0,2025,3,March,Sunday
ATT017737,EMP00909,2025-04-02,Present,09:58:00,17:24:00,0.0,2025,4,April,Wednesday
ATT007044,EMP00909,2025-06-15,Present,08:04:00,17:30:00,0.0,2025,6,June,Sunday
ATT019304,EMP00909,2025-07-06,Absent,,,0.0,2025,7,July,Sunday
ATT016476,EMP00909,2025-08-24,Present,10:57:00,17:59:00,2.2,2025,8,August,Sunday
ATT012964,EMP00909,2025-08-27,Work From Home,08:19:00,19:56:00,0.0,2025,8,August,Wednesday
ATT024720,EMP00909,2025-09-07,Present,08:11:00,20:53:00,0.0,2025,9,September,Sunday
ATT029284,EMP00909,2025-09-26,Present,10:21:00,18:11:00,0.0,2025,9,September,Friday
ATT040748,EMP00909,2025-10-02,Present,10:55:00,20:08:00,0.0,2025,10,October,Thursday
ATT028784,EMP00909,2026-02-26,Present,09:07:00,20:05:00,0.0,2026,2,February,Thursday
ATT016333,EMP00910,2025-01-21,Present,09:47:00,17:37:00,2.1,2025,1,January,Tuesday
ATT029267,EMP00910,2025-03-05,Absent,,,0.0,2025,3,March,Wednesday
ATT017015,EMP00910,2025-03-15,Present,10:24:00,20:59:00,0.0,2025,3,March,Saturday
ATT030164,EMP00910,2025-04-15,Present,10:35:00,19:05:00,1.4,2025,4,April,Tuesday
ATT037134,EMP00910,2025-05-13,Present,08:06:00,17:10:00,0.0,2025,5,May,Tuesday
ATT031585,EMP00910,2025-06-08,Present,09:21:00,19:01:00,1.3,2025,6,June,Sunday
ATT003719,EMP00910,2025-06-25,Present,10:44:00,19:56:00,0.0,2025,6,June,Wednesday
ATT011763,EMP00910,2025-07-11,Present,08:28:00,17:16:00,2.7,2025,7,July,Friday
ATT034381,EMP00910,2025-07-25,On Leave,,,0.0,2025,7,July,Friday
ATT029259,EMP00910,2025-08-07,Present,09:59:00,17:55:00,0.0,2025,8,August,Thursday
ATT030104,EMP00910,2025-09-29,Present,09:03:00,19:41:00,0.0,2025,9,September,Monday
ATT025746,EMP00910,2025-10-14,On Leave,,,0.0,2025,10,October,Tuesday
ATT002049,EMP00910,2025-10-23,Present,08:59:00,18:18:00,0.0,2025,10,October,Thursday
ATT012953,EMP00910,2025-12-02,On Leave,,,0.0,2025,12,December,Tuesday
ATT041290,EMP00910,2025-12-24,Present,10:01:00,18:48:00,0.0,2025,12,December,Wednesday
ATT019064,EMP00910,2026-02-26,Present,10:04:00,17:11:00,0.0,2026,2,February,Thursday
ATT017517,EMP00910,2026-05-29,Present,08:00:00,20:47:00,0.0,2026,5,May,Friday
ATT003009,EMP00910,2026-07-05,Present,10:53:00,17:35:00,3.5,2026,7,July,Sunday
ATT007712,EMP00910,2026-07-12,Absent,,,0.0,2026,7,July,Sunday
ATT010575,EMP00911,2025-03-22,Absent,,,0.0,2025,3,March,Saturday
ATT015433,EMP00911,2025-06-15,Present,09:39:00,18:12:00,0.0,2025,6,June,Sunday
ATT027301,EMP00911,2026-01-08,On Leave,,,0.0,2026,1,January,Thursday
ATT012257,EMP00911,2026-01-14,Work From Home,09:51:00,19:56:00,0.0,2026,1,January,Wednesday
ATT012946,EMP00911,2026-02-02,Present,10:24:00,19:42:00,0.0,2026,2,February,Monday
ATT000813,EMP00911,2026-03-17,Present,08:19:00,19:23:00,0.0,2026,3,March,Tuesday
ATT000997,EMP00911,2026-04-02,Present,10:34:00,19:28:00,0.0,2026,4,April,Thursday
ATT005860,EMP00912,2025-02-28,Present,09:16:00,20:31:00,0.0,2025,2,February,Friday
ATT031131,EMP00912,2025-04-04,Present,08:38:00,17:47:00,0.0,2025,4,April,Friday
ATT010110,EMP00912,2025-05-20,Present,10:31:00,20:25:00,0.0,2025,5,May,Tuesday
ATT038081,EMP00912,2025-08-05,On Leave,,,0.0,2025,8,August,Tuesday
ATT041259,EMP00912,2025-11-11,Half Day,09:00:00,18:28:00,0.0,2025,11,November,Tuesday
ATT028795,EMP00912,2025-12-07,Present,10:06:00,19:38:00,0.0,2025,12,December,Sunday
ATT004712,EMP00912,2026-01-01,Present,08:00:00,17:29:00,0.0,2026,1,January,Thursday
ATT021972,EMP00912,2026-03-03,On Leave,,,0.0,2026,3,March,Tuesday
ATT010999,EMP00912,2026-03-05,Present,09:04:00,19:33:00,0.0,2026,3,March,Thursday
ATT024333,EMP00912,2026-04-01,Present,09:53:00,20:42:00,2.5,2026,4,April,Wednesday
ATT028751,EMP00912,2026-05-08,Present,10:43:00,18:41:00,0.0,2026,5,May,Friday
ATT011796,EMP00913,2025-01-16,Present,08:46:00,20:01:00,1.4,2025,1,January,Thursday
ATT029144,EMP00913,2025-05-03,On Leave,,,0.0,2025,5,May,Saturday
ATT022332,EMP00913,2025-06-12,On Leave,,,0.0,2025,6,June,Thursday
ATT002252,EMP00913,2025-07-20,Work From Home,08:59:00,17:21:00,0.0,2025,7,July,Sunday
ATT040291,EMP00913,2025-10-11,Work From Home,10:55:00,18:21:00,0.0,2025,10,October,Saturday
ATT027673,EMP00913,2025-10-26,Present,09:19:00,19:56:00,0.0,2025,10,October,Sunday
ATT027323,EMP00913,2025-11-06,Present,09:17:00,19:34:00,3.1,2025,11,November,Thursday
ATT026816,EMP00913,2025-12-02,Present,08:27:00,20:41:00,3.2,2025,12,December,Tuesday
ATT024994,EMP00913,2026-02-18,Work From Home,10:32:00,20:23:00,0.0,2026,2,February,Wednesday
ATT023778,EMP00913,2026-02-23,Work From Home,08:48:00,20:01:00,0.0,2026,2,February,Monday
ATT039964,EMP00913,2026-04-12,Present,09:35:00,20:18:00,0.0,2026,4,April,Sunday
ATT017271,EMP00913,2026-04-14,Present,08:19:00,19:39:00,0.0,2026,4,April,Tuesday
ATT012712,EMP00913,2026-04-24,Present,09:56:00,18:57:00,0.0,2026,4,April,Friday
ATT019016,EMP00913,2026-06-13,Present,10:41:00,20:57:00,0.0,2026,6,June,Saturday
ATT017153,EMP00914,2025-01-04,Present,09:12:00,20:29:00,0.0,2025,1,January,Saturday
ATT035585,EMP00914,2025-01-19,Absent,,,0.0,2025,1,January,Sunday
ATT000047,EMP00914,2025-01-30,Present,08:34:00,17:14:00,0.0,2025,1,January,Thursday
ATT028908,EMP00914,2025-02-26,Present,08:42:00,18:08:00,0.0,2025,2,February,Wednesday
ATT010486,EMP00914,2025-06-17,Present,10:35:00,18:33:00,0.0,2025,6,June,Tuesday
ATT031944,EMP00914,2025-06-24,Present,09:41:00,19:20:00,3.1,2025,6,June,Tuesday
ATT033183,EMP00914,2025-07-15,Present,09:53:00,20:47:00,0.0,2025,7,July,Tuesday
ATT008414,EMP00914,2025-09-18,Present,08:27:00,19:21:00,0.0,2025,9,September,Thursday
ATT022085,EMP00914,2025-11-24,Present,08:20:00,17:11:00,0.0,2025,11,November,Monday
ATT031946,EMP00914,2026-01-17,Present,09:13:00,17:02:00,0.0,2026,1,January,Saturday
ATT011564,EMP00914,2026-01-23,Half Day,08:13:00,18:19:00,0.0,2026,1,January,Friday
ATT040384,EMP00914,2026-04-27,Present,08:24:00,17:38:00,0.0,2026,4,April,Monday
ATT037058,EMP00915,2025-04-07,Present,09:18:00,20:11:00,1.6,2025,4,April,Monday
ATT022404,EMP00915,2025-05-22,Half Day,08:53:00,19:26:00,0.0,2025,5,May,Thursday
ATT027521,EMP00915,2025-08-23,On Leave,,,0.0,2025,8,August,Saturday
ATT010377,EMP00915,2025-10-16,Present,08:17:00,19:22:00,0.0,2025,10,October,Thursday
ATT030665,EMP00915,2025-10-31,On Leave,,,0.0,2025,10,October,Friday
ATT001491,EMP00915,2025-11-04,Present,09:53:00,18:32:00,0.0,2025,11,November,Tuesday
ATT020051,EMP00915,2026-02-16,Present,08:31:00,18:12:00,0.0,2026,2,February,Monday
ATT020242,EMP00915,2026-04-23,Present,09:41:00,18:39:00,0.0,2026,4,April,Thursday
ATT041112,EMP00915,2026-05-15,Present,08:16:00,19:37:00,0.0,2026,5,May,Friday
ATT018999,EMP00915,2026-06-15,Present,08:57:00,19:09:00,0.0,2026,6,June,Monday
ATT006573,EMP00915,2026-06-19,Present,10:21:00,19:13:00,3.1,2026,6,June,Friday
ATT033100,EMP00916,2025-02-05,On Leave,,,0.0,2025,2,February,Wednesday
ATT024416,EMP00916,2025-06-05,Half Day,08:20:00,20:49:00,0.0,2025,6,June,Thursday
ATT009006,EMP00916,2025-11-13,On Leave,,,0.0,2025,11,November,Thursday
ATT024855,EMP00916,2025-12-02,Present,08:23:00,17:24:00,0.0,2025,12,December,Tuesday
ATT010012,EMP00916,2025-12-21,Present,10:58:00,20:25:00,0.0,2025,12,December,Sunday
ATT020949,EMP00916,2025-12-25,Present,10:33:00,19:28:00,0.0,2025,12,December,Thursday
ATT008311,EMP00916,2026-03-14,Work From Home,08:39:00,20:00:00,0.0,2026,3,March,Saturday
ATT010553,EMP00917,2025-01-01,Present,09:32:00,19:36:00,0.0,2025,1,January,Wednesday
ATT026023,EMP00917,2025-06-06,Present,09:00:00,20:28:00,0.0,2025,6,June,Friday
ATT003967,EMP00917,2025-06-24,Present,08:01:00,17:25:00,0.0,2025,6,June,Tuesday
ATT018756,EMP00917,2025-06-28,Present,10:06:00,20:49:00,0.0,2025,6,June,Saturday
ATT021193,EMP00917,2025-09-14,Present,09:11:00,19:38:00,0.0,2025,9,September,Sunday
ATT011823,EMP00917,2025-09-22,Present,09:59:00,18:39:00,0.0,2025,9,September,Monday
ATT006901,EMP00917,2025-10-23,Work From Home,08:40:00,18:38:00,0.0,2025,10,October,Thursday
ATT014986,EMP00917,2025-12-16,Present,10:28:00,19:37:00,0.0,2025,12,December,Tuesday
ATT019862,EMP00917,2026-01-11,Present,09:16:00,19:21:00,0.0,2026,1,January,Sunday
ATT031393,EMP00917,2026-01-12,Present,10:05:00,19:51:00,0.0,2026,1,January,Monday
ATT028215,EMP00917,2026-01-18,Absent,,,0.0,2026,1,January,Sunday
ATT041589,EMP00917,2026-02-20,Present,08:45:00,19:15:00,0.0,2026,2,February,Friday
ATT008097,EMP00917,2026-05-08,Present,10:58:00,20:18:00,0.0,2026,5,May,Friday
ATT005838,EMP00918,2025-02-19,Present,08:50:00,20:08:00,0.0,2025,2,February,Wednesday
ATT018493,EMP00918,2025-04-02,Work From Home,10:41:00,18:52:00,0.0,2025,4,April,Wednesday
ATT036671,EMP00918,2025-04-04,Present,10:57:00,18:53:00,0.0,2025,4,April,Friday
ATT040492,EMP00918,2025-08-19,Present,09:02:00,19:03:00,0.0,2025,8,August,Tuesday
ATT006898,EMP00918,2025-08-26,On Leave,,,0.0,2025,8,August,Tuesday
ATT003885,EMP00918,2026-05-29,On Leave,,,0.0,2026,5,May,Friday
ATT021499,EMP00919,2025-02-07,Half Day,08:30:00,17:34:00,0.0,2025,2,February,Friday
ATT007935,EMP00919,2025-05-10,Present,08:15:00,19:59:00,0.0,2025,5,May,Saturday
ATT033650,EMP00919,2025-05-11,On Leave,,,0.0,2025,5,May,Sunday
ATT003498,EMP00919,2025-06-15,Present,09:27:00,17:19:00,2.4,2025,6,June,Sunday
ATT035931,EMP00919,2025-07-22,Work From Home,10:28:00,17:29:00,0.0,2025,7,July,Tuesday
ATT019710,EMP00919,2025-08-27,Present,10:54:00,19:48:00,0.6,2025,8,August,Wednesday
ATT033474,EMP00919,2025-09-03,On Leave,,,0.0,2025,9,September,Wednesday
ATT031190,EMP00919,2025-09-21,Present,09:51:00,17:44:00,0.0,2025,9,September,Sunday
ATT000193,EMP00919,2025-11-05,Present,09:15:00,19:38:00,0.0,2025,11,November,Wednesday
ATT040728,EMP00919,2025-12-02,Present,09:23:00,18:21:00,0.0,2025,12,December,Tuesday
ATT014321,EMP00919,2025-12-14,Present,10:40:00,18:32:00,2.8,2025,12,December,Sunday
ATT030594,EMP00919,2025-12-18,Present,08:25:00,17:01:00,0.0,2025,12,December,Thursday
ATT037450,EMP00919,2026-01-16,Work From Home,10:28:00,17:01:00,0.0,2026,1,January,Friday
ATT012155,EMP00919,2026-04-28,Present,08:07:00,19:09:00,9.1,2026,4,April,Tuesday
ATT016502,EMP00919,2026-05-15,Absent,,,0.0,2026,5,May,Friday
ATT010401,EMP00919,2026-05-28,Present,10:41:00,19:20:00,3.0,2026,5,May,Thursday
ATT012457,EMP00919,2026-06-13,Present,10:59:00,17:44:00,0.0,2026,6,June,Saturday
ATT037040,EMP00919,2026-07-04,Present,09:53:00,19:38:00,2.8,2026,7,July,Saturday
ATT031629,EMP00920,2025-02-21,Present,10:41:00,19:38:00,0.0,2025,2,February,Friday
ATT012425,EMP00920,2025-03-30,Present,10:41:00,17:18:00,0.0,2025,3,March,Sunday
ATT000581,EMP00920,2025-04-24,On Leave,,,0.0,2025,4,April,Thursday
ATT035097,EMP00920,2025-10-31,Work From Home,09:05:00,20:22:00,0.0,2025,10,October,Friday
ATT033198,EMP00920,2025-11-20,Present,08:15:00,19:42:00,0.5,2025,11,November,Thursday
ATT015990,EMP00920,2025-12-26,Present,10:02:00,20:39:00,0.0,2025,12,December,Friday
ATT027880,EMP00920,2026-01-13,Present,09:22:00,17:14:00,0.0,2026,1,January,Tuesday
ATT001405,EMP00920,2026-02-06,On Leave,,,0.0,2026,2,February,Friday
ATT036565,EMP00920,2026-02-13,Work From Home,09:11:00,19:45:00,0.0,2026,2,February,Friday
ATT021764,EMP00920,2026-03-01,Present,10:38:00,17:16:00,3.9,2026,3,March,Sunday
ATT039785,EMP00920,2026-03-08,On Leave,,,0.0,2026,3,March,Sunday
ATT008385,EMP00920,2026-03-27,Present,10:45:00,20:42:00,0.0,2026,3,March,Friday
ATT023148,EMP00920,2026-04-03,Present,10:33:00,20:53:00,0.0,2026,4,April,Friday
ATT028369,EMP00920,2026-05-06,Present,09:13:00,17:31:00,0.0,2026,5,May,Wednesday
ATT025560,EMP00920,2026-06-06,Present,08:14:00,19:01:00,0.0,2026,6,June,Saturday
ATT025938,EMP00921,2025-02-19,Absent,,,0.0,2025,2,February,Wednesday
ATT009821,EMP00921,2025-04-21,Present,09:06:00,18:35:00,0.0,2025,4,April,Monday
ATT022804,EMP00921,2025-05-06,Present,09:12:00,20:08:00,3.1,2025,5,May,Tuesday
ATT033672,EMP00921,2025-05-16,Present,08:12:00,17:32:00,0.0,2025,5,May,Friday
ATT026756,EMP00921,2025-06-28,Present,10:20:00,18:41:00,0.0,2025,6,June,Saturday
ATT024743,EMP00921,2025-07-18,Work From Home,10:45:00,20:16:00,0.0,2025,7,July,Friday
ATT029882,EMP00921,2025-08-31,Present,10:42:00,20:10:00,2.6,2025,8,August,Sunday
ATT005055,EMP00921,2026-01-02,Present,10:41:00,18:40:00,0.0,2026,1,January,Friday
ATT001808,EMP00921,2026-02-13,Present,09:37:00,19:20:00,0.0,2026,2,February,Friday
ATT018008,EMP00921,2026-03-12,Present,08:59:00,17:31:00,1.0,2026,3,March,Thursday
ATT030764,EMP00921,2026-03-13,Present,08:46:00,19:56:00,2.2,2026,3,March,Friday
ATT029261,EMP00921,2026-05-20,Present,09:12:00,20:28:00,0.0,2026,5,May,Wednesday
ATT003954,EMP00921,2026-06-02,Work From Home,09:06:00,20:29:00,0.0,2026,6,June,Tuesday
ATT003517,EMP00922,2025-01-09,Present,10:01:00,17:44:00,0.0,2025,1,January,Thursday
ATT036955,EMP00922,2025-01-15,Present,08:43:00,20:00:00,0.0,2025,1,January,Wednesday
ATT007980,EMP00922,2025-02-11,Present,10:01:00,18:18:00,0.0,2025,2,February,Tuesday
ATT041421,EMP00922,2025-03-03,Present,09:30:00,19:04:00,0.0,2025,3,March,Monday
ATT003089,EMP00922,2025-03-27,Present,10:27:00,20:54:00,0.0,2025,3,March,Thursday
ATT001803,EMP00922,2025-03-31,Present,10:17:00,19:31:00,0.0,2025,3,March,Monday
ATT022089,EMP00922,2025-05-16,Present,10:53:00,19:05:00,0.0,2025,5,May,Friday
ATT035467,EMP00922,2025-06-14,Work From Home,10:36:00,20:58:00,0.0,2025,6,June,Saturday
ATT015178,EMP00922,2025-06-15,On Leave,,,0.0,2025,6,June,Sunday
ATT005329,EMP00922,2025-08-16,Present,10:45:00,20:59:00,0.0,2025,8,August,Saturday
ATT023427,EMP00922,2026-01-07,Present,08:14:00,18:09:00,2.9,2026,1,January,Wednesday
ATT041234,EMP00922,2026-01-15,On Leave,,,0.0,2026,1,January,Thursday
ATT018084,EMP00922,2026-02-27,Present,09:52:00,18:38:00,11.3,2026,2,February,Friday
ATT021409,EMP00922,2026-03-27,On Leave,,,0.0,2026,3,March,Friday
ATT012915,EMP00922,2026-04-25,Half Day,09:25:00,18:11:00,0.0,2026,4,April,Saturday
ATT031731,EMP00923,2025-01-24,Present,10:36:00,20:15:00,0.0,2025,1,January,Friday
ATT033353,EMP00923,2025-02-06,Present,10:43:00,19:15:00,0.0,2025,2,February,Thursday
ATT009375,EMP00923,2025-04-17,Present,08:21:00,17:05:00,0.0,2025,4,April,Thursday
ATT001528,EMP00923,2025-05-20,Present,08:56:00,17:49:00,0.0,2025,5,May,Tuesday
ATT024287,EMP00923,2025-06-07,Half Day,09:27:00,20:26:00,0.0,2025,6,June,Saturday
ATT023422,EMP00923,2025-06-13,Present,10:04:00,20:18:00,3.6,2025,6,June,Friday
ATT037446,EMP00923,2025-08-13,Present,09:25:00,19:36:00,0.0,2025,8,August,Wednesday
ATT038398,EMP00923,2025-10-05,Present,10:13:00,19:12:00,0.0,2025,10,October,Sunday
ATT009952,EMP00923,2025-10-28,Present,10:27:00,20:46:00,0.0,2025,10,October,Tuesday
ATT023901,EMP00923,2025-10-30,Present,08:50:00,20:20:00,0.0,2025,10,October,Thursday
ATT023125,EMP00923,2025-11-04,Present,09:28:00,17:31:00,0.0,2025,11,November,Tuesday
ATT040225,EMP00923,2025-12-27,Present,10:09:00,18:14:00,0.0,2025,12,December,Saturday
ATT008225,EMP00923,2025-12-30,Present,09:11:00,18:31:00,0.0,2025,12,December,Tuesday
ATT007838,EMP00923,2026-03-15,Present,08:38:00,18:07:00,0.0,2026,3,March,Sunday
